iter	Passed	Remaining
972	11496	319
973	11507	307
974	11519	295
975	11529	283
976	11540	271
977	11552	259
978	11562	248
979	11574	236
980	11586	224
981	11596	212
982	11607	200
983	11619	188
984	11628	177
985	11640	165
986	11653	153
987	11663	141
988	11674	129
989	11686	118
990	11696	106
991	11706	94
992	11719	82
993	11729	70
994	11739	58
995	11751	47
996	11760	35
997	11771	23
998	11783	11
999	11793	0
